template_name,use_case,domain_filter,sector_filter,format_filter,audience_filter,email_subject,email_body,speech_text
Découverte — Retail — Gestion de conflit — Blended,Découverte,Gestion de conflit,Retail/Luxe,Blended,Accueil;Managers,Formation « Gestion des incivilités » — prise de contact,"Bonjour {{contact_name}},%0D%0AJe me permets de vous contacter au nom de FPSG (groupe Fiducial). Nous accompagnons des enseignes retail/luxe sur des modules courts et opérationnels en gestion des incivilités et posture d’accueil. Notre module « {{formation_title}} » ({{duration}}, {{format}}) est particulièrement adapté à {{company_name}}.%0D%0ASeriez-vous disponible pour un échange de 15 minutes cette semaine ?%0D%0ABien cordialement,%0D{{your_name}} — {{your_email}}","Bonjour {{contact_name}}, je suis {{your_name}} de FPSG. On forme des équipes retail sur la gestion des incivilités, en format {{format}} de {{duration}}. On cale 15 minutes cette semaine ?"
Découverte — Santé — Sûreté — Blended,Découverte,Sûreté,Santé,Blended,Agents;RH/HSE;Managers,Vigilance comportementale en milieu hospitalier,"Bonjour {{contact_name}},%0D%0AFPSG accompagne les établissements de santé sur la vigilance comportementale (Vigipirate), avec un parcours blended limitant l'impact planning. Présentation rapide possible cette semaine ?%0D%0ABien à vous,%0D{{your_name}} — {{your_email}}",Nous travaillons la vigilance comportementale en contexte hospitalier avec un format mixte. On peut faire un point rapide ?
Renouvellement — Secourisme (SST),Renouvellement,Secourisme,Tous secteurs,Présentiel,Agents;Tous publics,Rappel — renouvellements SST,"Bonjour {{contact_name}},%0D%0APetit rappel : vos renouvellements SST approchent. Souhaitez-vous caler des sessions pour {{company_name}} ?%0D%0ACordialement,%0D{{your_name}}",On anticipe les MAC SST pour éviter toute rupture. On cale les sessions ?
Découverte — Industrie — Gestion de conflit — Présentiel,Découverte,Gestion de conflit,Industrie,Présentiel,Agents;Managers,Prévention des situations conflictuelles en atelier / site industriel,"Bonjour {{contact_name}},%0D%0AFPSG accompagne des sites industriels sur la gestion des situations conflictuelles (atelier, logistique, accueil). Le module « {{formation_title}} » ({{duration}}, {{format}}) travaille la posture, les techniques de désescalade et des scénarios concrets adaptés à vos environnements.%0D%0ASouhaitez-vous un échange de 15 minutes pour cadrer les besoins de {{company_name}} ?%0D%0ABien cordialement,%0D{{your_name}} — {{your_email}}","Bonjour {{contact_name}}, {{your_name}} à l’appareil (FPSG). Nous outillons vos équipes terrain pour prévenir et désamorcer les tensions en contexte industriel. On se cale 15 min ?"
Découverte — Transport — Sûreté — Blended,Découverte,Sûreté,Transport,Blended,Agents;Managers;RH/HSE,Vigilance comportementale et sûreté en environnement transport,"Bonjour {{contact_name}},%0D%0ANous formons des équipes transport (ferroviaire, routier, aéroportuaire) sur la vigilance comportementale et la gestion d’alertes. Parcours blended limitant l’impact planning, avec cas d’usage issus du terrain.%0D%0AUn créneau de présentation rapide vous conviendrait-il ?%0D%0ABien à vous,%0D{{your_name}} — {{your_email}}","Nous travaillons la vigilance et les protocoles d’alerte en environnement transport, avec un format mixte très opérationnel. On se parle 10–15 minutes ?"
Audit — Secteur Public — Sûreté — Distanciel,Audit,Sûreté,Public,Distanciel,RH/HSE;Managers,Mini-audit gratuit de vos besoins (sécurité / prévention),"Bonjour {{contact_name}},%0D%0ANous proposons un mini-audit gratuit (30 min) pour cartographier les besoins en sécurité / prévention dans vos services (accueil, état civil, police municipale, centres techniques).%0D%0AOK pour un créneau visio cette semaine ?%0D%0ACordialement,%0D{{your_name}}","On démarre souvent par un mini-audit gratuit pour prioriser un plan réaliste (sécurité, prévention). On cale une visio ?"
Relance salon — Éducation — Gestion de conflit — Distanciel,Relance salon,Gestion de conflit,Éducation,Distanciel,Managers;RH/HSE;Accueil,Suite à notre échange — prévention des situations d’incivilité en établissement scolaire,"Bonjour {{contact_name}},%0D%0AFaisant suite à notre échange, je vous partage notre module distanciel sur la gestion des situations sensibles en établissement (accueil, vie scolaire, relation avec les familles).%0D%0ASouhaitez-vous une démonstration courte ?%0D%0ABien cordialement,%0D{{your_name}}","Comme vu ensemble, nous proposons un module distanciel très concret pour gérer les situations sensibles en établissement. Une démo rapide ?"
Cross-sell — Tertiaire — RPS — E-learning,Cross-sell,Prévention HSE,Tertiaire,E-learning,Managers;RH/HSE,Complément e-learning — prévention des RPS pour vos managers,"Bonjour {{contact_name}},%0D%0ASuite à {{formation_title}} suivie par vos équipes, nous recommandons un complément e-learning RPS pour les managers (20–30 min, cas pratiques + quiz).%0D%0AVoulez-vous un accès démo ?%0D%0ABien cordialement,%0D{{your_name}}","En complément des actions déjà menées, un module e-learning RPS court pour les managers fonctionne très bien. Je vous envoie un accès démo ?"
Suivi — Industrie — Vigilance comportementale — Distanciel,Suivi,Sûreté,Industrie,Distanciel,Managers;RH/HSE,Suite à notre échange — sensibilisation vigilance sur sites industriels,"Bonjour {{contact_name}},%0D%0AComme convenu, je reviens vers vous au sujet de la sensibilisation vigilance comportementale pour {{company_name}}. Nous pouvons proposer un format {{format}} avec cas pratiques adaptés à vos ateliers et zones logistiques.%0D%0AUn créneau de 10 minutes pour valider le périmètre ?%0D%0ABien à vous,%0D{{your_name}}","Je fais suite à notre échange sur la vigilance comportementale en site industriel — on peut vous proposer un distanciel court avec cas pratiques. On cale 10 minutes ?"
LinkedIn — Secteur public — Sûreté — Message de prise de contact,LinkedIn,Sûreté,Public,Distanciel,RH/HSE;Managers,Contact LinkedIn FPSG (sûreté & prévention),"Bonjour {{contact_name}},%0D%0AJe travaille avec FPSG (Fiducial Sécurité) sur les formations de prévention des risques et sûreté des établissements publics. Nous accompagnons plusieurs collectivités dans la gestion des situations conflictuelles et la prévention des agressions.%0D%0AJe peux vous partager des retours et exemples de programmes si vous le souhaitez.%0D%0ABien à vous,%0D{{your_name}}","Message LinkedIn : Bonjour {{contact_name}}, je travaille avec FPSG (Fiducial Sécurité) sur des formations sûreté et prévention pour les collectivités. Intéressé par des retours/programmes ?"
